price,nights,unit,dates,asheville,boston,chicago,dc,denver,montreal,nashville,quebec,sf,tc,period_no,nights_diff,trt,nights_per_period
245.73387096774200,248.0,asheville,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,25,0,9.92
149.67027027027000,185.0,asheville,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,25,0,7.4
257.19217081850500,281.0,asheville,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,31,0,9.064516129032260
250.13541666666700,384.0,asheville,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,34,0,11.294117647058800
226.88076923076900,520.0,asheville,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,26,0,20.0
210.0767306088410,2398.0,asheville,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,21,0,114.19047619047600
180.5493273542600,6244.0,asheville,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,36,0,173.44444444444400
172.96893353941300,6470.0,asheville,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,29,0,223.10344827586200
161.6779857022710,9512.0,asheville,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,33,0,288.24242424242400
146.08400452639300,15023.0,asheville,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,31,0,484.61290322580600
244.5818181818180,275.0,boston,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,30,0,9.166666666666670
283.05082742316800,1692.0,boston,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,28,0,60.42857142857140
342.7912371134020,776.0,boston,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,27,0,28.74074074074070
310.35645472061700,1557.0,boston,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,37,0,42.08108108108110
261.86560975609800,4100.0,boston,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,26,0,157.69230769230800
251.78285391991000,5319.0,boston,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,1,231.2608695652170
228.27497239233000,9961.0,boston,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,31,1,321.3225806451610
223.20447674792600,15547.0,boston,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,34,1,457.2647058823530
228.89140393425000,18555.0,boston,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,34,1,545.7352941176470
241.76429043239700,19681.0,boston,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,26,1,756.9615384615390
0.0,0.0,chicago,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,30,0,9.166666666666670
0.0,0.0,chicago,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,28,0,60.42857142857140
333.78139534883700,430.0,chicago,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,27,0,15.925925925925900
249.15356711003600,1654.0,chicago,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,35,0,47.25714285714290
215.7371756185880,3314.0,chicago,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,28,0,118.35714285714300
221.5322445561140,7164.0,chicago,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,0,311.4782608695650
211.16939824614500,16535.0,chicago,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,31,0,533.3870967741940
184.66096764087200,22343.0,chicago,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,34,0,657.1470588235290
187.4858572253220,25985.0,chicago,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,34,0,764.2647058823530
174.28772171517100,29035.0,chicago,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,26,0,1116.7307692307700
157.6701030927840,485.0,dc,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,31,0,15.64516129032260
178.9517543859650,1596.0,dc,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,27,0,59.111111111111100
174.38917525773200,388.0,dc,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,28,0,13.857142857142900
194.56713426853700,998.0,dc,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,34,0,29.352941176470600
226.78638184245700,1498.0,dc,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,28,0,53.5
176.35564082885600,6515.0,dc,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,25,0,260.6
169.11755794576600,13202.0,dc,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,29,0,455.2413793103450
140.3721300721580,21342.0,dc,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,34,0,627.7058823529410
153.46817907292800,26506.0,dc,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,35,0,757.3142857142860
157.18929343907700,27740.0,dc,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,27,0,1027.4074074074100
183.14655172413800,232.0,denver,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,27,0,8.592592592592590
135.43984962406000,266.0,denver,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,25,0,10.64
333.85446985447000,481.0,denver,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,27,0,17.814814814814800
250.62141491395800,523.0,denver,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,35,0,14.942857142857100
214.4577205882350,1088.0,denver,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,29,0,37.51724137931030
213.4077711357810,4684.0,denver,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,20,0,234.2
192.52183483632700,14083.0,denver,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,38,0,370.60526315789500
173.96627223127600,14113.0,denver,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,30,0,470.43333333333300
166.9181715575620,17720.0,denver,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,32,0,553.75
163.77073692934600,28958.0,denver,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,31,0,934.1290322580650
165.2262895174710,1202.0,montreal,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,35,0,34.34285714285710
119.33007920427300,5429.0,montreal,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,29,0,187.20689655172400
170.18395061728400,1620.0,montreal,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,28,0,57.857142857142900
226.7334564481380,3249.0,montreal,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,32,0,101.53125
212.36134745615600,5759.0,montreal,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,30,0,191.96666666666700
161.07378286077400,12591.0,montreal,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,0,547.4347826086960
163.50106452669500,24424.0,montreal,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,31,0,787.8709677419360
164.100310484834,33496.0,montreal,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,33,0,1015.030303030300
159.3693609966840,39812.0,montreal,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,32,0,1244.125
148.1785879808440,38838.0,montreal,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,26,0,1493.7692307692300
271.5564738292010,363.0,nashville,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,34,0,10.676470588235300
271.67215568862300,668.0,nashville,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,28,0,23.857142857142900
404.4679203539820,904.0,nashville,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,28,0,32.285714285714300
330.3458230958230,1628.0,nashville,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,35,0,46.51428571428570
334.73882923449900,2887.0,nashville,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,27,0,106.92592592592600
336.60703287970600,10067.0,nashville,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,0,437.69565217391300
333.8236237897650,18075.0,nashville,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,30,0,602.5
300.4032137958060,25515.0,nashville,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,34,0,750.4411764705880
283.5576337813850,31552.0,nashville,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,31,0,1017.8064516129000
268.61481337982700,30981.0,nashville,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,27,0,1147.4444444444400
238.59116022099400,181.0,quebec,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,35,0,5.171428571428570
129.3718592964820,796.0,quebec,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,29,0,27.448275862069000
144.57142857142900,441.0,quebec,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,28,0,15.75
172.3953488372090,516.0,quebec,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,28,0,18.428571428571400
213.76723498888100,2698.0,quebec,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,32,0,84.3125
160.07944415312000,3814.0,quebec,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,0,165.82608695652200
174.1228410008070,6195.0,quebec,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,29,0,213.6206896551720
159.5711929064850,9699.0,quebec,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,34,0,285.2647058823530
160.38028169014100,9088.0,quebec,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,33,0,275.3939393939390
150.00621186910700,9015.0,quebec,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,24,0,375.625
244.9626168224300,107.0,sf,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,32,0,3.34375
252.930174563591,1604.0,sf,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,33,0,48.60606060606060
206.3910149750420,601.0,sf,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,25,0,24.04
205.02764227642300,1230.0,sf,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,31,0,39.67741935483870
239.52746037596800,2713.0,sf,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,33,0,82.21212121212120
239.54259235749700,7877.0,sf,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,0,342.4782608695650
220.5910040475260,15318.0,sf,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,33,0,464.1818181818180
190.83647964564400,18964.0,sf,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,28,0,677.2857142857140
214.97226488391000,22138.0,sf,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,30,0,737.9333333333330
208.28810922245100,25709.0,sf,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,30,0,856.9666666666670
317.6551724137930,87.0,tc,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,32,0,2.71875
216.87552213868000,1197.0,tc,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,33,0,36.27272727272730
260.5777202072540,386.0,tc,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,25,0,15.44
224.32300163132100,613.0,tc,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,31,0,19.774193548387100
195.46766561514200,1268.0,tc,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,33,0,38.42424242424240
267.5323943661970,2840.0,tc,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,22,0,129.0909090909090
190.24514522821600,6025.0,tc,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,33,0,182.57575757575800
193.55044074436800,8168.0,tc,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,28,0,291.7142857142860
163.65311142084100,12197.0,tc,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,32,0,381.15625
161.18230893807400,12967.0,tc,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,28,0,463.10714285714300