bimonth,price,nights,month,week,unit,trt
1,129.8011811023622,1527,2,8,asheville,0
2,135.79320445225542,1711,3,10,asheville,0
3,143.75104853205514,3339,3,12,asheville,0
4,143.6074179743224,3511,4,14,asheville,0
5,144.72243639167309,5190,4,16,asheville,0
6,146.04308149405773,4714,4,18,asheville,0
7,153.36548767416934,4668,5,20,asheville,0
8,149.6394964594807,6355,5,22,asheville,0
9,160.25450533284297,5438,6,24,asheville,0
11,168.2578266104756,6644,7,28,asheville,0
12,168.48719153936545,8510,7,30,asheville,0
13,166.907463592233,6592,8,32,asheville,0
14,172.91303574604305,5623,8,34,asheville,0
15,164.02982848620434,6705,9,36,asheville,0
16,167.07410225197808,6572,9,38,asheville,0
17,172.10618568359155,8843,9,40,asheville,0
18,174.95658042744657,8890,10,42,asheville,0
19,168.11997234067073,8677,10,44,asheville,0
20,164.57095088819227,4785,11,46,asheville,0
21,170.82755324959038,7324,11,48,asheville,0
22,165.28288570868457,5101,12,50,asheville,0
1,151.94285714285715,3710,2,8,boston,0
2,210.8752848245481,6583,3,10,boston,0
3,208.49127497889108,7106,3,12,boston,0
4,265.0111888111888,5005,4,14,boston,0
5,255.19359814886232,10372,4,16,boston,0
6,268.07573891625617,8120,4,18,boston,0
7,329.61311504902403,11117,5,20,boston,0
8,277.5358246953992,10998,5,22,boston,0
9,269.42918958562524,13635,6,24,boston,0
11,289.0716855993791,14173,7,28,boston,1
12,283.93808190144574,13211,7,30,boston,1
13,270.4754408687855,10037,8,32,boston,1
14,253.68496732026145,14535,8,34,boston,1
15,267.3076324744774,10285,9,36,boston,1
16,278.28522947640596,12376,9,38,boston,1
17,257.9639411363415,10261,9,40,boston,1
18,274.00467855126243,12397,10,42,boston,1
19,219.53702460850113,8940,10,44,boston,1
20,211.33556062581485,6136,11,46,boston,1
21,199.75531668978272,8652,11,48,boston,1
22,157.79220314735335,5592,12,50,boston,1
1,128.5463211928624,4091,2,8,chicago,0
2,150.94606118750667,9381,3,10,chicago,0
3,126.347319104633,9605,3,12,chicago,0
4,172.543584579977,6952,4,14,chicago,0
5,165.88496829037916,14822,4,16,chicago,0
6,172.20921143382634,13049,4,18,chicago,0
7,193.21848031993264,19004,5,20,chicago,0
8,214.72696826616888,18214,5,22,chicago,0
9,209.66660842978817,22895,6,24,chicago,0
11,209.99756953821225,22218,7,28,chicago,0
12,218.55113710768694,22909,7,30,chicago,0
13,209.61690429000703,15641,8,32,chicago,0
14,199.78538602941177,21760,8,34,chicago,0
15,203.17713522050784,16462,9,36,chicago,0
16,208.27959673077865,20433,9,38,chicago,0
17,213.39837545126355,16620,9,40,chicago,0
18,207.3941093368723,23359,10,42,chicago,0
19,185.5545417515275,12275,10,44,chicago,0
20,188.35677649308877,11506,11,46,chicago,0
21,201.80739589807334,16090,11,48,chicago,0
22,181.52485364555614,9395,12,50,chicago,0
1,128.19409547738692,3184,2,8,dc,0
2,181.60411805078928,7285,3,10,dc,0
3,163.08530704104598,9331,3,12,dc,0
4,177.26788491446345,7716,4,14,dc,0
5,193.2764397033086,11999,4,16,dc,0
6,172.62429378531073,9204,4,18,dc,0
7,194.997461406518,14575,5,20,dc,0
8,167.39290535473225,13334,5,22,dc,0
9,196.16673858102695,16223,6,24,dc,0
11,183.54896396990893,15154,7,28,dc,0
12,173.3802456163394,15227,7,30,dc,0
13,160.98886692331703,9611,8,32,dc,0
14,169.3935235158057,12970,8,34,dc,0
15,160.91084103062713,10285,9,36,dc,0
16,182.47757009345796,14980,9,38,dc,0
17,171.75669185676955,14159,9,40,dc,0
18,184.3033101944811,17431,10,42,dc,0
19,160.00945368602854,11001,10,44,dc,0
20,169.34490426189006,8095,11,46,dc,0
21,177.60021862267715,10063,11,48,dc,0
22,159.80997520781682,6857,12,50,dc,0
1,117.9966499162479,2985,2,8,denver,0
2,127.80733944954129,2289,3,10,denver,0
3,141.90410539215685,3264,3,12,denver,0
4,139.88587530820712,5678,4,14,denver,0
5,152.09773228978526,4983,4,16,denver,0
6,146.0610222285148,7063,4,18,denver,0
7,156.9247293921732,6005,5,20,denver,0
8,159.48008526870862,8913,5,22,denver,0
9,171.91245429124544,9298,6,24,denver,0
11,175.937104468893,10271,7,28,denver,0
12,177.30238842398884,11472,7,30,denver,0
13,176.6342455621302,10816,8,32,denver,0
14,186.75079086115994,8535,8,34,denver,0
15,171.27599122967294,10946,9,36,denver,0
16,173.59331444759206,8825,9,38,denver,0
17,173.47774004904736,10602,9,40,denver,0
18,165.99546051845658,8371,10,42,denver,0
19,165.57222719141325,8944,10,44,denver,0
20,185.5580341582433,5738,11,46,denver,0
21,183.56272981320782,6799,11,48,denver,0
22,183.61609907120743,5168,12,50,denver,0
1,121.25476447321107,5562,2,8,montreal,0
2,133.38436705145764,10222,3,10,montreal,0
3,133.62163899303695,9335,3,12,montreal,0
4,147.12671272982786,8539,4,14,montreal,0
5,140.13589641660514,17609,4,16,montreal,0
6,161.91211695713224,12107,4,18,montreal,0
7,173.46521902221482,23993,5,20,montreal,0
8,227.18995159405776,17973,5,22,montreal,0
9,180.2186268756811,23858,6,24,montreal,0
11,199.61652767247915,26380,7,28,montreal,0
12,225.89152792331276,25767,7,30,montreal,0
13,210.87462557291855,27710,8,32,montreal,0
14,191.4977633050457,30404,8,34,montreal,0
15,168.0287482419128,17775,9,36,montreal,0
16,166.31973830202395,26137,9,38,montreal,0
17,160.23437199461435,20796,9,40,montreal,0
18,154.7416980560246,23097,10,42,montreal,0
19,148.22296404988995,13630,10,44,montreal,0
20,136.75090856229104,13758,11,46,montreal,0
21,139.6265327110197,12641,11,48,montreal,0
22,139.66478646253023,13651,12,50,montreal,0
1,212.59767922428867,6291,2,8,nashville,0
2,245.2038047840745,12458,3,10,nashville,0
3,248.9175820604485,15385,3,12,nashville,0
4,270.1800576184379,12496,4,14,nashville,0
5,296.04882930971735,16486,4,16,nashville,0
6,278.7408754208754,14850,4,18,nashville,0
7,296.7576743734214,20588,5,20,nashville,0
8,343.5116756479343,15588,5,22,nashville,0
9,267.64743775034066,24220,6,24,nashville,0
11,275.3352441193912,25295,7,28,nashville,0
12,284.82635524270955,21878,7,30,nashville,0
13,291.0931841723638,24136,8,32,nashville,0
14,295.13080101078975,24934,8,34,nashville,0
15,313.95796055307034,19672,9,36,nashville,0
16,319.6086118251928,29564,9,38,nashville,0
17,314.32708763148105,29567,9,40,nashville,0
18,305.8711317418214,31668,10,42,nashville,0
19,286.9791412042695,24546,10,44,nashville,0
20,264.50216295994704,19649,11,46,nashville,0
21,249.1486934532172,17795,11,48,nashville,0
22,218.88613926549954,15194,12,50,nashville,0
1,239.70518602029313,1774,2,8,ri,0
2,239.81738035264485,794,3,10,ri,0
3,229.306640625,1024,3,12,ri,0
4,222.76505576208177,2690,4,14,ri,0
5,188.33134030891878,2007,4,16,ri,0
6,253.97858402620307,3969,4,18,ri,0
7,258.35395077720204,3088,5,20,ri,0
8,267.5931899641577,5022,5,22,ri,0
9,264.7208693902194,4969,6,24,ri,0
11,303.6294849537037,6912,7,28,ri,0
12,300.2129115558425,7745,7,30,ri,0
13,316.92627281460136,8328,8,32,ri,0
14,319.7004349656237,7127,8,34,ri,0
15,278.15502378121283,6728,9,36,ri,0
16,269.8623338870432,4816,9,38,ri,0
17,274.4317291550084,7148,9,40,ri,0
18,238.82289002557545,4692,10,42,ri,0
19,233.5300751879699,4788,10,44,ri,0
20,193.42739950779327,2438,11,46,ri,0
21,256.7130157282881,4387,11,48,ri,0
22,211.46992006731173,2377,12,50,ri,0
1,196.4694618686035,3029,2,8,sf,0
2,212.3100621446516,7563,3,10,sf,0
3,207.80747860039045,6659,3,12,sf,0
4,218.47227171492204,8980,4,14,sf,0
5,213.359346082665,6484,4,16,sf,0
6,217.88699571287236,9097,4,18,sf,0
7,207.4970354625797,8939,5,20,sf,0
8,219.8935850474312,10647,5,22,sf,0
9,211.04874800213105,11262,6,24,sf,0
11,223.69625009393553,13307,7,28,sf,0
12,216.53449716779645,10769,7,30,sf,0
13,231.8952709845655,14189,8,32,sf,0
14,207.29277531411677,10824,8,34,sf,0
15,220.94222937778198,10559,9,36,sf,0
16,231.22774232756,13164,9,38,sf,0
17,229.45638060458512,9858,9,40,sf,0
18,224.4741225461035,13448,10,42,sf,0
19,226.8988554472234,11795,10,44,sf,0
20,280.43779527559053,10160,11,46,sf,0
21,225.66968433591424,8395,11,48,sf,0
22,211.2054463599429,9107,12,50,sf,0
1,105.84182908545728,1334,2,8,tc,0
2,301.7272396874432,5503,3,10,tc,0
3,124.11204400694847,3454,3,12,tc,0
4,337.3510778706555,6819,4,14,tc,0
5,140.19590361445782,4150,4,16,tc,0
6,296.49375725900114,6888,4,18,tc,0
7,150.85923160678178,6429,5,20,tc,0
8,269.59675251959686,8930,5,22,tc,0
9,166.84349046672125,8549,6,24,tc,0
11,232.27944767197104,11877,7,28,tc,0
12,163.3203327571305,9256,7,30,tc,0
13,231.99479209721417,12097,8,32,tc,0
14,170.72580329153604,10208,8,34,tc,0
15,253.94494584837545,7756,9,36,tc,0
16,184.01919739696314,9220,9,38,tc,0
17,164.7172822617419,6579,9,40,tc,0
18,248.00760085753265,10262,10,42,tc,0
19,270.55506883604505,7990,10,44,tc,0
20,150.74918753584402,5231,11,46,tc,0
21,241.48930971288942,4911,11,48,tc,0
22,223.66104030313468,5806,12,50,tc,0
